NAME,B01003_001E,B25064_001E,B25077_001E,B07003_001E,B07003_004E,B07003_008E,B07003_010E,B11016_001E,B25003_002E,B25003_003E,zip,moved_different_house_pct,median_rent_usd,population,zillow_home_value_index,zillow_rent_index,B25064_001E_suppressed,B25077_001E_suppressed,median_rent_usd_suppressed
ZCTA5 33174,34335,1667.0,357400.0,34087,29393,892,984,11050,5579,5471,33174,0.1377064570070701,1667.0,34335,443497.0638608453,2579.6309523809523,False,False,False
ZCTA5 33175,50233,1844.0,421400.0,49752,46468,764,218,17115,13043,4072,33175,0.0660073966875703,1844.0,50233,625095.250620412,2880.7619047619046,False,False,False
ZCTA5 33176,52719,1605.0,541600.0,52348,47733,1777,126,18847,11835,7012,33176,0.0881600061129365,1605.0,52719,629113.56497749,2346.986289173789,False,False,False
ZCTA5 33177,56791,1961.0,362100.0,56329,52146,1820,345,16240,12196,4044,33177,0.0742601501890678,1961.0,56791,573699.5590516581,2751.337037037037,False,False,False
ZCTA5 33178,64751,2466.0,464100.0,64010,49730,4870,876,19718,9573,10145,33178,0.2230901421652866,2466.0,64751,556534.6998928332,3031.0411667811773,False,False,False
ZCTA5 33179,48196,1627.0,239900.0,47663,42500,1722,778,18433,10437,7996,33179,0.1083230178545202,1627.0,48196,277220.96520552033,2206.432367149758,False,False,False
ZCTA5 33180,32881,2323.0,448300.0,32651,28830,755,508,14456,9314,5142,33180,0.1170255122354598,2323.0,32881,465240.65727750375,3053.314465981133,False,False,False
ZCTA5 33181,20448,1530.0,296800.0,19932,16391,980,430,8384,3444,4940,33181,0.1776540236805137,1530.0,20448,318112.886510796,2401.695652173913,False,False,False
ZCTA5 33182,13163,2264.0,439900.0,13108,12476,145,150,4240,3508,732,33182,0.0482148306377784,2264.0,13163,670861.8468865172,3527.777777777778,False,False,False
ZCTA5 33183,34057,1778.0,346600.0,33837,31938,724,88,12349,8144,4205,33183,0.0561219966309069,1778.0,34057,395276.9511923164,2516.5242165242166,False,False,False
